2024-08-31 23:30:15.208 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-31 23:30:25.218 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:30:25.218 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-31 23:30:25.218 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:30:25.224 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-31 23:30:35.223 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:30:35.223 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-31 23:30:35.223 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:30:35.227 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-31 23:30:45.239 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:30:45.239 +08:00 [INF] Main (StartedAsync) |         Retrieve System Config.
2024-08-31 23:30:45.239 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:30:45.241 +08:00 [INF] Main (StartedAsync) | Send Email Function: Enabled, Interval Every 10 Secs
2024-08-31 23:30:45.241 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:30:45.241 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-31 23:30:45.241 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:30:45.243 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-31 23:30:55.246 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:30:55.246 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-31 23:30:55.246 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:30:55.249 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-31 23:31:05.254 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:31:05.254 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-31 23:31:05.254 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:31:05.256 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-31 23:31:15.263 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-31 23:31:15.263 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-31 23:31:15.263 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
