2024-08-28 22:11:05.448 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:11:05.451 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:11:15.459 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:11:15.459 +08:00 [INF] Main (StartedAsync) |         Retrieve System Config.
2024-08-28 22:11:15.459 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:11:15.462 +08:00 [INF] Main (StartedAsync) | Send Email Function: Enabled, Interval Every 10 Secs
2024-08-28 22:11:15.462 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:11:15.462 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 22:11:15.462 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:11:15.465 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:11:25.468 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:11:25.469 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 22:11:25.469 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:11:25.471 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:11:35.474 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:11:35.474 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 22:11:35.474 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:11:35.477 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:11:45.483 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:11:45.483 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 22:11:45.483 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:11:45.488 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:11:55.497 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:11:55.497 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 22:11:55.497 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:11:55.499 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:12:05.499 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:12:05.499 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 22:12:05.499 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:12:05.501 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:12:15.513 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:12:15.513 +08:00 [INF] Main (StartedAsync) |         Retrieve System Config.
2024-08-28 22:12:15.513 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:12:15.515 +08:00 [INF] Main (StartedAsync) | Send Email Function: Enabled, Interval Every 10 Secs
2024-08-28 22:12:15.515 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:12:15.515 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 22:12:15.515 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:12:15.517 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:12:25.528 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:12:25.528 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 22:12:25.528 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:12:25.530 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:12:35.543 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:12:35.544 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 22:12:35.544 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:12:35.546 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:12:45.552 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:12:45.552 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 22:12:45.552 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:12:45.555 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:12:55.557 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:12:55.557 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 22:12:55.557 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:12:55.561 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:13:05.574 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:13:05.574 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 22:13:05.574 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:13:05.577 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:13:15.588 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:13:15.588 +08:00 [INF] Main (StartedAsync) |         Retrieve System Config.
2024-08-28 22:13:15.588 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:13:15.590 +08:00 [INF] Main (StartedAsync) | Send Email Function: Enabled, Interval Every 10 Secs
2024-08-28 22:13:15.590 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:13:15.590 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 22:13:15.590 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:13:15.592 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:13:25.605 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:13:25.605 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 22:13:25.605 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:13:25.608 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:13:35.613 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:13:35.613 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 22:13:35.613 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:13:35.616 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:13:45.627 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:13:45.627 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 22:13:45.627 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:13:45.630 +08:00 [INF] Main (StartedAsync) | No emails need to be sent.
2024-08-28 22:13:55.633 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
2024-08-28 22:13:55.633 +08:00 [INF] Main (StartedAsync) |         Retrieve Send Email List.
2024-08-28 22:13:55.633 +08:00 [INF] Main (StartedAsync) | -------------------------------------------
